jammerlich-adj; adv	pathetic; miserably
Rasen-M; vb	lawn; dash
Räuber-M	robber
(he)rausholen-vb	get out
Rebell-M	rebel
Regie-F	direction
reichlich-adj; adv	plenty
Reifen-M; vb	tire; mature
reizend-adj; adv	lovely; gracefully
Revolution-F	revolution
Ritter-M	knight
Rollstuhl-M	wheelchair
rückwärts-adv	backward
rudern-vb	row
Ruhm-M	fame, glory
sachte-adj; adv	gentle; gently (coll)
satt-adj	full, rich
Schachtel-F	box
Schädel-M	skull
Schaf-N	sheep
Schande-F	shame
Schätzchen-N	sweetie
Scheck-M	check
Schere-F	scissors
Scherz-M	joke
schieben-vb	push
schießen-vb	shoot
Schild-N; M	sign; shield
Schläger-M	bat, beater
schlau-adj; adv	smart; cleverly
schluchzen-vb	sob
schlucken-vb	swallow
schmecken-vb	taste
schmeißen-vb	throw (coll)
schnappen-vb	grab, catch
Schnaps-M	booze (coll)
schreien-vb	scream
schüchtern-adj; adv	shy; shyly
schulden-vb	owe
Schuppen-M; nnpl	shed; dandruff
Schwachkopf-M	moron (coll)
Schwanz-M	c*ck (coll), tail
schwören-vb	swear
segnen-vb	bless
Seil-N	rope
Sofa-N	sofa
seufzen-vb	sigh
Sex-M	sex
Spielzeug-N	toy
Spinne-F	spider
spinnen-vb	spin, be mad (coll)
Spinner-M	weirdo (coll)
Spion-M	spy
sprengen-vb	blow up
Stab-M	rod
Stange-F	pole
stürzen-vb	fall, overthrow
stechen-vb	stab; sting
Sünde-F	sin
stehlen-vb	steal
Suppe-F	soup
Tabak-M	tobacco
Stift-M	pen
tanken-vb	refuel
Tankstelle-F	gas station
stinken-vb	stink
tapfer-adj; adv	brave; bravely
stöhnen-vb	groan
taub-adj	deaf
stoppen-vb	stop, clock
Tempel-M	temple
Torte-F	cake
Trick-M	trick
Tropfen-M; vb	drop, drip
Trost-M	comfort
Tüte-F	bag
überaus-adv	extremely
überfallen-vb	attack
überlassen-vb	leave
überreden-vb	persuade
überzeugen-vb	convince
überzeugt-adj	convinced
Umschlag-M	envelope
umwerfend-adj; adv	stunning; stunningly
ungern-adv	monster
unhöflich-adj; adv	rude; impolitely
Uniform-F	plain
urteilen-vb	judge
verabreden-vb	arrange
Verabredung-F	appointment
verärgert-adj; adv	upset; crossly
verbergen-vb	hide
verderben-vb	spoil
vergewaltigen-vb	rape
Vergewaltigung-F	rape
vergiften-vb	poison
vergraben-vb	bury
verhungern-vb	starve
verirren-vb	get lost
verlobt-adj	engaged
verloren-adj	lost
vermasseln-vb	mess up (coll)
verprügeln-vb	beat up
verraten-vb; vbr	betray; reveal
Verräter-F	traitor
Verrat-M	betrayal
verrücken-vb	move, shift
verwunden-vb	wound
verzweifelt-adv; adj	desperately;
Vieh-N	cattle
Verschwörung-F	conspiracy
verschwenden-vb	waste
verschwinden-vb	disappear
vertragen-vb	tolerate, take
Vorfahre-M	ancestor
Vorfall-M	incident
verwickeln-vb	involve, engage
vorwärts-adv	forward
Wahnsinn-M	madness
Wette-F	bet
widerlich-adj; adv	disgusting;
Witwe-F	widow
woanders-adv	somewhere else
Wunder-N	miracle
wundern-vb; vbr	surprise; wonder
zaubern-vb	do magic
Zaun-M	fence
zeihen-vb	accuse (fml)
Zentrale-F	headquarters
Zoo-M	zoo
Zwerg-M	dwarf
Zwilling-M	twin
